use_no, field_name, old_value, new_value, error_id
577306, AMT_PRD_USED, 1.05, .2987, 20218
577213, LBS_PRD_USED, .616, .616, 20091
577213, AMT_PRD_USED, 4.43, .616, 20091
577215, LBS_PRD_USED, 1.9775, 1.9775, 20092
577215, AMT_PRD_USED, 5.15, .2127, 20092
577216, LBS_PRD_USED, 2.2901, 2.2901, 20093
577216, AMT_PRD_USED, 3.44, .2266, 20093
577217, LBS_PRD_USED, 2.24, 2.24, 20094
577217, AMT_PRD_USED, 286.8, 29.9053, 20094
783514, LBS_PRD_USED, .0048, .0048, 26062
783514, AMT_PRD_USED, 2.25, .0747, 26062
577242, LBS_PRD_USED, 1.5653, 1.5653, 20136
577242, AMT_PRD_USED, .94, .1549, 20136
577253, LBS_PRD_USED, 2.7773, 2.7773, 20157
577253, AMT_PRD_USED, 1.49, .2987, 20157
577256, LBS_PRD_USED, 1.1778, 1.1778, 20160
577256, AMT_PRD_USED, .94, .1165, 20160
577273, LBS_PRD_USED, 2.6702, 2.6702, 20185
577273, AMT_PRD_USED, 1.2, .2987, 20185
577275, LBS_PRD_USED, 1.4413, 1.4413, 20186
577275, AMT_PRD_USED, .97, .1613, 20186
577277, LBS_PRD_USED, 1.2848, 1.2848, 20187
577277, AMT_PRD_USED, .86, .1437, 20187
3922919, LBS_PRD_USED, .0552, .0552, 122820
3922919, AMT_PRD_USED, 54, .7353, 122820
3296502, LBS_PRD_USED, 8.5227, 8.5227, 93217
3296502, AMT_PRD_USED, 64, 8.5227, 93217
3296662, LBS_PRD_USED, 2.0184, 2.0184, 93224
3296662, AMT_PRD_USED, 112, 27.6965, 93224
802578, LBS_PRD_USED, .2041, .2041, 26405
802578, AMT_PRD_USED, 7800, 92.5602, 26405
802579, LBS_PRD_USED, .1939, .1939, 26406
802579, AMT_PRD_USED, 8400, 87.9321, 26406
802580, LBS_PRD_USED, .1224, .1224, 26407
802580, AMT_PRD_USED, 5700, 55.536, 26407
803139, LBS_PRD_USED, .1377, .1377, 26449
803139, AMT_PRD_USED, 44, 2.2039, 26449
802816, LBS_PRD_USED, .4591, .4591, 26416
802816, AMT_PRD_USED, 160, 7.3462, 26416
802575, LBS_PRD_USED, .2653, .2653, 26404
802575, AMT_PRD_USED, 11100, 120.3281, 26404
805323, LBS_PRD_USED, .2838, .2838, 26511
805323, AMT_PRD_USED, 1920, 117.2437, 26511
1163177, LBS_PRD_USED, .0001, .0001, 35320
1163177, AMT_PRD_USED, 1.5, .0006, 35320
4026226, ACRE_PLANTED, 1.7, 1.9, 155187
